CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,330,70,330,320,3.163,36,i,10,0,302,18,0,0
CURclassMarker,1607,331,70,330,320,3.172,36,i,10,0,302,18,0,0
CURclassMarker,1607,332,70,330,320,3.182,36,i,10,0,302,18,0,0
CURclassMarker,1607,333,70,330,320,3.2,36,i,10,0,302,18,0,0
CURclassMarker,1607,334,70,330,320,3.211,36,i,10,0,302,18,0,0
CURclassMarker,1607,335,70,330,320,3.22,36,i,10,0,302,18,0,0
CURclassMarker,1607,336,70,330,320,3.229,36,i,10,0,302,18,0,0
CURclassMarker,1607,337,70,330,320,3.238,36,i,10,0,302,18,0,0
CURclassMarker,1607,338,70,330,320,3.247,36,i,10,0,302,18,0,0
CURclassMarker,1607,339,70,330,320,3.259,36,i,10,0,302,18,0,0
